case,engine,metric,median,min,max,qualification
scale,rocksdb,missing_p50_us,0.5,0.4,0.5,
scale,rocksdb,range_p50_us,50.8,47.9,92.4,
scale,rocksdb,reused_16_key_p50_us,1.1,1.0,2.7,
scale,rocksdb,unique_reads_ms,24.9894,24.2709,63.0862,
scale,rocksdb,one_off_scan_ms,7.3459,6.9959,11.958,
scale,rocksdb,updates_ms,22.1553,22.0532,23.5744,
scale,rocksdb,durable_mutation_p50_us,2631.8,2629.5,2753.2,
scale,rocksdb,post_mutation_scan_ms,8.2505,7.6771,12.7469,
scale,rocksdb,post_mutation_range_p50_us,5.0,4.9,11.5,
scale,rocksdb,post_compaction_scan_ms,8.6562,7.2138,12.858,
scale,rocksdb,cleared_app_cache_p50_us,51.2,51.2,60.4,
scale,rocksdb,reopen_ms,75.5793,69.7476,100.3027,Close/reopen DB; recovery/memtable state can differ from other engines.
scale,rocksdb,maintenance_ms,31.6457,31.1602,32.9185,Flush and compact_range; must wait for completion. Not SPI integrity verification.
scale,rocksdb,final_owned_file_bytes,4821408.0,4821408.0,4821408.0,"Owned SST, WAL and metadata file lengths."
scale,duckdb,load_ms,42607.6938,41149.4917,43361.7598,
scale,duckdb,warm_hit_p50_us,287.0,264.2,300.1,
scale,duckdb,warm_hit_p99_us,673.8,627.9,707.8,
scale,duckdb,missing_p50_us,214.8,193.6,238.3,
scale,duckdb,range_p50_us,1676.1,1570.2,1687.4,
scale,duckdb,reused_16_key_p50_us,287.1,280.7,297.8,
scale,duckdb,unique_reads_ms,6311.4588,6308.5082,7225.9683,
scale,duckdb,one_off_scan_ms,20.4054,19.6019,23.0216,
scale,duckdb,updates_ms,1065.297,1043.8705,1095.0652,
scale,duckdb,durable_mutation_p50_us,5518.8,5397.5,5790.1,
scale,duckdb,post_mutation_scan_ms,22.0508,21.3149,22.6381,
scale,duckdb,post_mutation_range_p50_us,1456.4,1348.3,1466.1,
scale,duckdb,post_compaction_scan_ms,19.744,19.2146,21.4778,
scale,duckdb,cleared_app_cache_p50_us,1061.9,986.1,1124.9,
scale,duckdb,reopen_ms,56.1373,55.5099,57.1369,Close/reopen embedded DB and reprepare statements.
scale,duckdb,maintenance_ms,0.4245,0.4152,0.4375,"CHECKPOINT only, NOT VACUUM or full integrity utility."
scale,duckdb,final_owned_file_bytes,4993024.0,4993024.0,4993024.0,Owned file lengths.
scale,spi,load_ms,1399.3879,1355.6192,1445.3198,
scale,spi,warm_hit_p50_us,9.2,8.9,9.5,
scale,spi,warm_hit_p99_us,40.0,38.9,40.6,
scale,spi,missing_p50_us,0.5,0.5,0.5,
scale,spi,range_p50_us,764.0,759.7,829.2,
scale,spi,reused_16_key_p50_us,3.7,3.6,3.8,
scale,spi,unique_reads_ms,162.1055,156.8217,164.2846,
scale,spi,one_off_scan_ms,153.6495,145.9132,154.365,
scale,spi,updates_ms,98.5687,95.019,100.3073,
scale,spi,durable_mutation_p50_us,9153.7,9080.5,9458.7,
scale,spi,post_mutation_scan_ms,153.7647,150.3378,156.1855,
scale,spi,post_mutation_range_p50_us,14.2,13.1,14.3,
scale,spi,post_compaction_scan_ms,152.2508,149.3425,215.1773,
scale,spi,cleared_app_cache_p50_us,68.9,65.5,70.0,
scale,spi,reopen_ms,8.584,7.0962,9.0928,Drop database handle and reopen committed root.
scale,spi,maintenance_ms,279.2668,277.5739,282.1683,"Whole-epoch compaction, collection and explicit integrity verification."
scale,spi,final_owned_file_bytes,3520072.0,3520072.0,3520072.0,"All owned database file lengths, not allocated device bytes."
scale,spi-packed,load_ms,799.0082,766.9487,829.9857,
scale,spi-packed,warm_hit_p50_us,0.6,0.6,0.6,
scale,spi-packed,warm_hit_p99_us,1.8,1.6,2.0,
scale,spi-packed,missing_p50_us,0.4,0.4,0.4,
scale,spi-packed,range_p50_us,45.9,41.7,49.1,
scale,spi-packed,reused_16_key_p50_us,0.4,0.4,0.5,
scale,spi-packed,unique_reads_ms,12.5671,12.3304,12.9677,
scale,spi-packed,one_off_scan_ms,4.8309,4.5255,4.9086,
scale,spi-packed,updates_ms,100.6068,95.0851,105.8027,
scale,spi-packed,durable_mutation_p50_us,9692.5,9004.5,10188.4,
scale,spi-packed,post_mutation_scan_ms,6.7714,6.5617,6.7855,
scale,spi-packed,post_mutation_range_p50_us,36.0,35.8,44.8,
scale,spi-packed,post_compaction_scan_ms,4.6152,4.2391,4.9329,
scale,spi-packed,cleared_app_cache_p50_us,44.0,42.7,46.8,
scale,spi-packed,reopen_ms,7.2675,6.0348,8.3124,Drop database handle and reopen committed root.
scale,spi-packed,maintenance_ms,38.059,36.4239,42.3345,"Whole-epoch compaction, collection and explicit integrity verification."
scale,spi-packed,final_owned_file_bytes,1935168.0,1935168.0,1935168.0,"All owned database file lengths, not allocated device bytes."
scale,sqlite,load_ms,273.3103,237.91,300.9549,
scale,sqlite,warm_hit_p50_us,3.0,3.0,3.1,
scale,sqlite,warm_hit_p99_us,7.4,5.7,10.4,
scale,sqlite,missing_p50_us,2.7,2.6,2.7,
scale,sqlite,range_p50_us,36.8,35.9,39.4,
scale,sqlite,reused_16_key_p50_us,2.8,2.7,2.8,
scale,sqlite,unique_reads_ms,61.8458,61.5166,64.0701,
scale,sqlite,one_off_scan_ms,5.6173,5.5907,5.6819,
scale,sqlite,updates_ms,60.5872,56.6272,65.9309,
scale,sqlite,durable_mutation_p50_us,2737.4,2482.2,2755.2,
scale,sqlite,post_mutation_scan_ms,5.1699,4.9753,5.203,
scale,sqlite,post_mutation_range_p50_us,4.9,4.9,5.6,
scale,sqlite,post_compaction_scan_ms,5.1907,4.9048,5.6821,
scale,sqlite,cleared_app_cache_p50_us,13.4,13.4,13.6,
scale,sqlite,reopen_ms,12.1228,12.0923,12.1632,Close/reopen connection and reapply PRAGMAs.
scale,sqlite,maintenance_ms,29.3157,27.4848,29.857,"Checkpoint, VACUUM, checkpoint and integrity_check."
scale,sqlite,final_owned_file_bytes,1650688.0,1650688.0,1650688.0,All owned database/WAL file lengths.
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,load_ms,195.4781,157.1485,220.6175,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,warm_hit_p50_us,65.1,56.4,93.3,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,warm_hit_p99_us,198.3,166.3,220.1,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,missing_p50_us,71.4,50.2,93.0,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,range_p50_us,178.1,165.6,209.9,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,reused_16_key_p50_us,64.3,56.0,92.4,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,unique_reads_ms,149.3254,140.2418,192.4784,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,one_off_scan_ms,1.5544,1.3857,2.5851,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,updates_ms,43.4701,41.1498,52.3366,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,durable_mutation_p50_us,325.0,272.9,380.8,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,post_mutation_scan_ms,3.516,3.2607,3.8616,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,post_mutation_range_p50_us,116.0,97.3,121.9,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,post_compaction_scan_ms,3.6645,3.3637,3.9091,
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,cleared_app_cache_p50_us,,54.8,84.7,"not comparable: adapter has no application-cache clear, raw warm observations retained"
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,reopen_ms,31.6536,28.9327,31.7993,"Client reconnect, NOT server restart or crash recovery."
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,maintenance_ms,1028.0286,1019.9992,1069.5928,VACUUM ANALYZE and CHECKPOINT as separate messages; not full compaction.
results\spi\postgres-bytea-normal-007c1f6-v1,postgres,final_owned_file_bytes,360448.0,360448.0,360448.0,Table+index+TOAST relation lengths only; cluster/WAL totals reported separately.
results\spi\postgres-bytea-large-007c1f6-v1,postgres,load_ms,146.2448,142.1818,170.8463,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,warm_hit_p50_us,76.3,74.0,77.4,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,warm_hit_p99_us,218.9,201.1,219.2,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,missing_p50_us,49.9,46.6,66.0,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,range_p50_us,1494.7,1388.1,1611.4,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,reused_16_key_p50_us,72.6,68.9,74.9,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,unique_reads_ms,81.9944,79.0466,82.8285,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,one_off_scan_ms,13.3526,12.8948,15.1859,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,updates_ms,84.2642,77.7075,86.8458,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,durable_mutation_p50_us,444.2,393.4,447.6,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,post_mutation_scan_ms,18.4467,18.1086,18.7913,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,post_mutation_range_p50_us,144.4,133.1,168.3,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,post_compaction_scan_ms,18.8824,17.463,21.9685,
results\spi\postgres-bytea-large-007c1f6-v1,postgres,cleared_app_cache_p50_us,,67.8,95.9,"not comparable: adapter has no application-cache clear, raw warm observations retained"
results\spi\postgres-bytea-large-007c1f6-v1,postgres,reopen_ms,28.0947,26.4776,30.5108,"Client reconnect, NOT server restart or crash recovery."
results\spi\postgres-bytea-large-007c1f6-v1,postgres,maintenance_ms,1075.2231,1051.1285,2594.8823,VACUUM ANALYZE and CHECKPOINT as separate messages; not full compaction.
results\spi\postgres-bytea-large-007c1f6-v1,postgres,final_owned_file_bytes,8732672.0,8732672.0,8732672.0,Table+index+TOAST relation lengths only; cluster/WAL totals reported separately.
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,load_ms,2050.6367,1478.7181,2142.4639,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,warm_hit_p50_us,103.5,71.3,104.1,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,warm_hit_p99_us,232.0,211.1,255.1,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,missing_p50_us,86.9,57.7,92.0,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,range_p50_us,232.2,205.2,264.1,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,reused_16_key_p50_us,92.1,58.8,96.0,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,unique_reads_ms,2012.6085,1787.6986,2061.7417,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,one_off_scan_ms,15.3903,15.2589,24.9866,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,updates_ms,61.0425,59.3129,74.1473,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,durable_mutation_p50_us,473.1,335.0,490.5,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,post_mutation_scan_ms,17.1028,15.1542,31.0736,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,post_mutation_range_p50_us,103.0,80.0,158.6,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,post_compaction_scan_ms,20.258,15.6889,21.6162,
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,cleared_app_cache_p50_us,,69.6,93.8,"not comparable: adapter has no application-cache clear, raw warm observations retained"
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,reopen_ms,34.1765,29.1176,35.5124,"Client reconnect, NOT server restart or crash recovery."
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,maintenance_ms,990.9304,925.2433,1090.5962,VACUUM ANALYZE and CHECKPOINT as separate messages; not full compaction.
results\spi\postgres-bytea-scale-007c1f6-v1,postgres,final_owned_file_bytes,2908160.0,2908160.0,2908160.0,Table+index+TOAST relation lengths only; cluster/WAL totals reported separately.
